step 120 | train_loss: 7.088461 | grad_norm: 0.6873 | lr: 1.0154e-04 | tok/s: 370149
step 121 | train_loss: 7.077700 | grad_norm: 0.7961 | lr: 1.0238e-04 | tok/s: 369914
step 122 | train_loss: 7.052833 | grad_norm: 0.6220 | lr: 1.0322e-04 | tok/s: 370279
step 123 | train_loss: 7.044420 | grad_norm: 0.8164 | lr: 1.0406e-04 | tok/s: 370003
step 124 | train_loss: 7.063655 | grad_norm: 0.8009 | lr: 1.0490e-04 | tok/s: 369952
step 125 | train_loss: 7.048628 | grad_norm: 0.7505 | lr: 1.0573e-04 | tok/s: 369972
step 126 | train_loss: 7.031373 | grad_norm: 0.5340 | lr: 1.0657e-04 | tok/s: 368709
step 127 | train_loss: 6.987296 | grad_norm: 0.6448 | lr: 1.0741e-04 | tok/s: 361842
step 128 | train_loss: 6.957613 | grad_norm: 0.6180 | lr: 1.0825e-04 | tok/s: 361754
step 129 | train_loss: 6.933934 | grad_norm: 0.5205 | lr: 1.0909e-04 | tok/s: 362189
step 130 | train_loss: 6.992034 | grad_norm: 0.4682 | lr: 1.0993e-04 | tok/s: 359628
step 131 | train_loss: 6.947590 | grad_norm: 0.5159 | lr: 1.1077e-04 | tok/s: 359510
step 132 | train_loss: 6.946993 | grad_norm: 0.5083 | lr: 1.1161e-04 | tok/s: 359437
step 133 | train_loss: 6.854249 | grad_norm: 1.0221 | lr: 1.1245e-04 | tok/s: 359082
step 134 | train_loss: 6.850757 | grad_norm: 0.9297 | lr: 1.1329e-04 | tok/s: 359013
step 135 | train_loss: 6.926359 | grad_norm: 0.6304 | lr: 1.1413e-04 | tok/s: 359416
step 136 | train_loss: 6.901028 | grad_norm: 1.3380 | lr: 1.1497e-04 | tok/s: 359581
step 137 | train_loss: 6.915370 | grad_norm: 0.5539 | lr: 1.1580e-04 | tok/s: 359579
step 138 | train_loss: 6.845680 | grad_norm: 0.9601 | lr: 1.1664e-04 | tok/s: 359670
step 139 | train_loss: 6.925774 | grad_norm: 0.5388 | lr: 1.1748e-04 | tok/s: 359553
step 140 | train_loss: 7.032877 | grad_norm: 0.7515 | lr: 1.1832e-04 | tok/s: 359231
step 141 | train_loss: 6.914825 | grad_norm: 0.6078 | lr: 1.1916e-04 | tok/s: 360045
step 142 | train_loss: 6.981435 | grad_norm: 0.6504 | lr: 1.2000e-04 | tok/s: 360119
step 143 | train_loss: 6.909277 | grad_norm: 0.5342 | lr: 1.2084e-04 | tok/s: 360063
step 144 | train_loss: 6.913871 | grad_norm: 0.6442 | lr: 1.2168e-04 | tok/s: 360039
step 145 | train_loss: 6.908337 | grad_norm: 0.5304 | lr: 1.2252e-04 | tok/s: 360034
step 146 | train_loss: 6.910107 | grad_norm: 0.5611 | lr: 1.2336e-04 | tok/s: 359910
step 147 | train_loss: 6.898393 | grad_norm: 0.4743 | lr: 1.2420e-04 | tok/s: 360144
step 148 | train_loss: 6.895480 | grad_norm: 0.5515 | lr: 1.2503e-04 | tok/s: 360182
step 149 | train_loss: 6.886861 | grad_norm: 0.4117 | lr: 1.2587e-04 | tok/s: 360237
step 150 | train_loss: 6.871337 | grad_norm: 0.4820 | lr: 1.2671e-04 | tok/s: 360372
step 151 | train_loss: 6.783242 | grad_norm: 0.4135 | lr: 1.2755e-04 | tok/s: 360520
step 152 | train_loss: 6.801862 | grad_norm: 0.3765 | lr: 1.2839e-04 | tok/s: 359878
